Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;;Mujeres;1963;326.221
Total Nacional;;Mujeres;1962;320.003
Total Nacional;;Mujeres;1961;317.749
Total Nacional;;Mujeres;1960;321.660
Total Nacional;;Mujeres;1959;318.369
Total Nacional;;Mujeres;1958;318.705
Total Nacional;;Mujeres;1957;315.196
Total Nacional;;Mujeres;1956;296.437
Total Nacional;;Mujeres;1955;291.426
Total Nacional;;Mujeres;1954;281.954
Total Nacional;;Mujeres;1953;286.442
Total Nacional;;Mujeres;1952;287.120
Total Nacional;;Mujeres;1951;275.692
Total Nacional;;Mujeres;1950;275.078
Total Nacional;;Mujeres;1949;293.110
Total Nacional;;Mujeres;1948;312.386
Total Nacional;;Mujeres;1947;286.391
Total Nacional;;Mujeres;1946;285.366
Total Nacional;;Mujeres;1945;""
Total Nacional;;Mujeres;1944;""
Total Nacional;;Mujeres;1943;""
Total Nacional;;Mujeres;1942;""
Total Nacional;;Mujeres;1941;""
Total Nacional;02 Albacete;Total;2022;2.707
Total Nacional;02 Albacete;Total;2021;2.817
Total Nacional;02 Albacete;Total;2020;2.803
Total Nacional;02 Albacete;Total;2019;2.919
Total Nacional;02 Albacete;Total;2018;3.086
Total Nacional;02 Albacete;Total;2017;3.265
Total Nacional;02 Albacete;Total;2016;3.373
Total Nacional;02 Albacete;Total;2015;3.514
Total Nacional;02 Albacete;Total;2014;3.618
Total Nacional;02 Albacete;Total;2013;3.642
Total Nacional;02 Albacete;Total;2012;3.754
Total Nacional;02 Albacete;Total;2011;4.000
Total Nacional;02 Albacete;Total;2010;4.104
Total Nacional;02 Albacete;Total;2009;4.202
Total Nacional;02 Albacete;Total;2008;4.140
Total Nacional;02 Albacete;Total;2007;3.702
Total Nacional;02 Albacete;Total;2006;4.028
Total Nacional;02 Albacete;Total;2005;3.787
Total Nacional;02 Albacete;Total;2004;3.679
Total Nacional;02 Albacete;Total;2003;3.856
Total Nacional;02 Albacete;Total;2002;3.726
Total Nacional;02 Albacete;Total;2001;3.677
Total Nacional;02 Albacete;Total;2000;3.693
Total Nacional;02 Albacete;Total;1999;3.682
Total Nacional;02 Albacete;Total;1998;3.710
Total Nacional;02 Albacete;Total;1997;3.731
Total Nacional;02 Albacete;Total;1996;3.799
Total Nacional;02 Albacete;Total;1995;3.917
Total Nacional;02 Albacete;Total;1994;3.982
Total Nacional;02 Albacete;Total;1993;3.893
Total Nacional;02 Albacete;Total;1992;4.178
Total Nacional;02 Albacete;Total;1991;4.175
Total Nacional;02 Albacete;Total;1990;4.431
Total Nacional;02 Albacete;Total;1989;4.359
Total Nacional;02 Albacete;Total;1988;4.098
Total Nacional;02 Albacete;Total;1987;4.382
Total Nacional;02 Albacete;Total;1986;4.323
Total Nacional;02 Albacete;Total;1985;4.364
Total Nacional;02 Albacete;Total;1984;4.657
Total Nacional;02 Albacete;Total;1983;4.796
Total Nacional;02 Albacete;Total;1982;5.168
Total Nacional;02 Albacete;Total;1981;5.179
Total Nacional;02 Albacete;Total;1980;5.292
Total Nacional;02 Albacete;Total;1979;5.574
Total Nacional;02 Albacete;Total;1978;5.967
Total Nacional;02 Albacete;Total;1977;5.875
Total Nacional;02 Albacete;Total;1976;6.220
Total Nacional;02 Albacete;Total;1975;6.100
Total Nacional;02 Albacete;Total;1974;6.233
Total Nacional;02 Albacete;Total;1973;6.288
Total Nacional;02 Albacete;Total;1972;6.480
Total Nacional;02 Albacete;Total;1971;6.685
Total Nacional;02 Albacete;Total;1970;6.898
Total Nacional;02 Albacete;Total;1969;7.374
Total Nacional;02 Albacete;Total;1968;7.331
Total Nacional;02 Albacete;Total;1967;7.519
Total Nacional;02 Albacete;Total;1966;7.729
Total Nacional;02 Albacete;Total;1965;7.866
Total Nacional;02 Albacete;Total;1964;8.735
Total Nacional;02 Albacete;Total;1963;8.727
Total Nacional;02 Albacete;Total;1962;8.860
Total Nacional;02 Albacete;Total;1961;9.058
Total Nacional;02 Albacete;Total;1960;9.693
Total Nacional;02 Albacete;Total;1959;9.262
Total Nacional;02 Albacete;Total;1958;9.504
Total Nacional;02 Albacete;Total;1957;9.214
Total Nacional;02 Albacete;Total;1956;8.492
Total Nacional;02 Albacete;Total;1955;8.702
Total Nacional;02 Albacete;Total;1954;8.557
Total Nacional;02 Albacete;Total;1953;9.254
Total Nacional;02 Albacete;Total;1952;9.556
Total Nacional;02 Albacete;Total;1951;9.214
Total Nacional;02 Albacete;Total;1950;9.794
Total Nacional;02 Albacete;Total;1949;10.081
Total Nacional;02 Albacete;Total;1948;10.800
Total Nacional;02 Albacete;Total;1947;9.316
Total Nacional;02 Albacete;Total;1946;9.631
Total Nacional;02 Albacete;Total;1945;10.229
Total Nacional;02 Albacete;Total;1944;10.271
Total Nacional;02 Albacete;Total;1943;10.336
Total Nacional;02 Albacete;Total;1942;9.576
Total Nacional;02 Albacete;Total;1941;8.050
Total Nacional;02 Albacete;Hombres;2022;1.410
Total Nacional;02 Albacete;Hombres;2021;1.462
Total Nacional;02 Albacete;Hombres;2020;1.430
Total Nacional;02 Albacete;Hombres;2019;1.504
Total Nacional;02 Albacete;Hombres;2018;1.601
Total Nacional;02 Albacete;Hombres;2017;1.712
Total Nacional;02 Albacete;Hombres;2016;1.752
Total Nacional;02 Albacete;Hombres;2015;1.836
Total Nacional;02 Albacete;Hombres;2014;1.907
Total Nacional;02 Albacete;Hombres;2013;1.917
Total Nacional;02 Albacete;Hombres;2012;1.888
Total Nacional;02 Albacete;Hombres;2011;2.098
Total Nacional;02 Albacete;Hombres;2010;2.090
Total Nacional;02 Albacete;Hombres;2009;2.138
Total Nacional;02 Albacete;Hombres;2008;2.140
Total Nacional;02 Albacete;Hombres;2007;1.923
Total Nacional;02 Albacete;Hombres;2006;2.089
Total Nacional;02 Albacete;Hombres;2005;1.985
