Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;02 Albacete;Mujeres;1945;""
Total Nacional;02 Albacete;Mujeres;1944;""
Total Nacional;02 Albacete;Mujeres;1943;""
Total Nacional;02 Albacete;Mujeres;1942;""
Total Nacional;02 Albacete;Mujeres;1941;""
Total Nacional;02 Albacete;Mujeres;1940;""
Total Nacional;02 Albacete;Mujeres;1939;""
Total Nacional;02 Albacete;Mujeres;1938;""
Total Nacional;02 Albacete;Mujeres;1937;""
Total Nacional;02 Albacete;Mujeres;1936;""
Total Nacional;02 Albacete;Mujeres;1935;""
Total Nacional;02 Albacete;Mujeres;1934;""
Total Nacional;02 Albacete;Mujeres;1933;""
Total Nacional;02 Albacete;Mujeres;1932;""
Total Nacional;02 Albacete;Mujeres;1931;""
Total Nacional;02 Albacete;Mujeres;1930;""
Total Nacional;03 Alicante/Alacant;Total;1974;9.094
Total Nacional;03 Alicante/Alacant;Total;1973;8.656
Total Nacional;03 Alicante/Alacant;Total;1972;8.183
Total Nacional;03 Alicante/Alacant;Total;1971;9.154
Total Nacional;03 Alicante/Alacant;Total;1970;8.064
Total Nacional;03 Alicante/Alacant;Total;1969;8.761
Total Nacional;03 Alicante/Alacant;Total;1968;7.978
Total Nacional;03 Alicante/Alacant;Total;1967;7.780
Total Nacional;03 Alicante/Alacant;Total;1966;7.461
Total Nacional;03 Alicante/Alacant;Total;1965;7.409
Total Nacional;03 Alicante/Alacant;Total;1964;7.223
Total Nacional;03 Alicante/Alacant;Total;1963;7.411
Total Nacional;03 Alicante/Alacant;Total;1962;7.193
Total Nacional;03 Alicante/Alacant;Total;1961;6.568
Total Nacional;03 Alicante/Alacant;Total;1960;6.817
Total Nacional;03 Alicante/Alacant;Total;1959;6.584
Total Nacional;03 Alicante/Alacant;Total;1958;6.371
Total Nacional;03 Alicante/Alacant;Total;1957;7.090
Total Nacional;03 Alicante/Alacant;Total;1956;7.175
Total Nacional;03 Alicante/Alacant;Total;1955;6.740
Total Nacional;03 Alicante/Alacant;Total;1954;6.376
Total Nacional;03 Alicante/Alacant;Total;1953;6.879
Total Nacional;03 Alicante/Alacant;Total;1952;6.680
Total Nacional;03 Alicante/Alacant;Total;1951;7.486
Total Nacional;03 Alicante/Alacant;Total;1950;6.772
Total Nacional;03 Alicante/Alacant;Total;1949;7.287
Total Nacional;03 Alicante/Alacant;Total;1948;6.753
Total Nacional;03 Alicante/Alacant;Total;1947;7.253
Total Nacional;03 Alicante/Alacant;Total;1946;7.031
Total Nacional;03 Alicante/Alacant;Total;1945;7.229
Total Nacional;03 Alicante/Alacant;Total;1944;7.944
Total Nacional;03 Alicante/Alacant;Total;1943;7.506
Total Nacional;03 Alicante/Alacant;Total;1942;8.321
Total Nacional;03 Alicante/Alacant;Total;1941;10.436
Total Nacional;03 Alicante/Alacant;Total;1940;9.459
Total Nacional;03 Alicante/Alacant;Total;1939;11.474
Total Nacional;03 Alicante/Alacant;Total;1938;12.848
Total Nacional;03 Alicante/Alacant;Total;1937;11.343
Total Nacional;03 Alicante/Alacant;Total;1936;9.148
Total Nacional;03 Alicante/Alacant;Total;1935;9.076
Total Nacional;03 Alicante/Alacant;Total;1934;8.649
Total Nacional;03 Alicante/Alacant;Total;1933;9.107
Total Nacional;03 Alicante/Alacant;Total;1932;8.775
Total Nacional;03 Alicante/Alacant;Total;1931;9.335
Total Nacional;03 Alicante/Alacant;Total;1930;9.163
Total Nacional;03 Alicante/Alacant;Hombres;1974;4.725
Total Nacional;03 Alicante/Alacant;Hombres;1973;4.502
Total Nacional;03 Alicante/Alacant;Hombres;1972;4.202
Total Nacional;03 Alicante/Alacant;Hombres;1971;4.796
Total Nacional;03 Alicante/Alacant;Hombres;1970;4.164
Total Nacional;03 Alicante/Alacant;Hombres;1969;4.572
Total Nacional;03 Alicante/Alacant;Hombres;1968;4.124
Total Nacional;03 Alicante/Alacant;Hombres;1967;4.041
Total Nacional;03 Alicante/Alacant;Hombres;1966;3.888
Total Nacional;03 Alicante/Alacant;Hombres;1965;3.875
Total Nacional;03 Alicante/Alacant;Hombres;1964;3.753
